rank 32
D 1000000
threshold 1737
main_word OXYPHENBUTAZONE
main_face 1458
root_dual_num 1754000000
root_dual_bound 1754
budget_num 17000000
slot 0 letter O options 41 rmax 50937500
slot 1 letter X options 11 rmax 13437500
slot 2 letter P options 1550 rmax 24750000
slot 3 letter B options 129 rmax 57750000
slot 4 letter A options 881 rmax 15750000
slot 5 letter Z options 61 rmax 30562500
slot 6 letter E options 49 rmax 57187500
nodes 9448947
leaves 9295
qualifying 110
max_face 1752
max_exact 1739
elapsed_seconds 1.22165
record 1 | OPACIFICATIONS:69:1:1 | XENOPHILES:22:1:1 | PREJUDGED:24:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 2 | OPACIFICATIONS:69:1:1 | XENOPHILES:22:1:1 | PREFORMATIVE:25:1:1 | BRAINWASHING:63:1:1 | AVOIDABLE:15:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 3 | OPACIFICATIONS:69:1:1 | XENOPHILES:22:1:1 | PREADJUSTING:26:1:1 | BLADDERLIKE:57:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 4 | OPACIFICATIONS:69:1:1 | XENOPHILES:22:1:1 | PREADJUSTED:25:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EQUALITY:60:1:1
record 5 | OPACIFICATIONS:69:1:1 | XENOPHILES:22:1:1 | PREJUDGED:24:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EQUALITY:60:1:1
record 6 | OPACIFYING:63:1:1 | XENOPHILES:22:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 7 | OPACIFYING:63:1:1 | XENOPHILES:22:1:1 | PREQUALIFIES:29:1:1 | BRAINWASHED:60:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 8 | OPACIFYING:63:1:1 | XENOPHILES:22:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EJACULATING:63:1:1
record 9 | OPACIFYING:63:1:1 | XENOPHILES:22:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATED:60:1:1
record 10 | OPACIFYING:63:1:1 | XENOPHILES:22:1:1 | PREQUALIFIES:29:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATED:60:1:1
record 11 | OPACIFYING:63:1:1 | XENOPHILES:22:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EJACULATED:60:1:1
record 12 | OPACIFICATIONS:69:1:1 | XENOPHILE:21:1:1 | PREADJUSTED:25:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 13 | OPACIFICATIONS:69:1:1 | XENOPHILE:21:1:1 | PREJUDGED:24:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 14 | OPACIFICATIONS:69:1:1 | XENOPHILE:21:1:1 | PREADJUSTED:25:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EQUALITY:60:1:1
record 15 | OPACIFYING:63:1:1 | XENOPHILE:21:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 16 | OPACIFYING:63:1:1 | XENOPHILE:21:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATED:60:1:1
record 17 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 18 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENER:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 19 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKING:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 20 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKED:14:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 21 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AWAKENING:17:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 22 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 23 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIES:29:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 24 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENERS:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 25 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENER:15:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 26 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKING:15:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 27 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AWAKENINGS:18:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 28 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AQUIVER:19:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 29 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AVOIDABLE:15:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 30 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKED:14:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 31 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AVOWED:13:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 32 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AQUIVER:19:1:1 | ZOOGAMETE:31:1:1 | EJACULATING:63:1:1
record 33 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AVOIDABLE:15:1:1 | ZOOGAMETE:31:1:1 | EJACULATING:63:1:1
record 34 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWING:27:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 35 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZIGGING:29:1:1 | ESTABLISHMENTS:63:1:1
record 36 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWING:27:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZIGGED:28:1:1 | ESTABLISHMENTS:63:1:1
record 37 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZIGGED:28:1:1 | ESTABLISHMENTS:63:1:1
record 38 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AVENGEFUL:16:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 39 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AVOIDABLE:15:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 40 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AVENGEFUL:16:1:1 | ZOOGAMETES:32:1:1 | EQUALITIES:57:1:1
record 41 | OPACIFICATIONS:69:1:1 | XYLEMS:18:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AVENGEFUL:16:1:1 | ZOOGAMETE:31:1:1 | EQUALITIES:57:1:1
record 42 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 43 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIES:29:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 44 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENERS:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 45 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENER:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 46 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKING:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 47 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AWAKENINGS:18:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 48 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 49 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENERS:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 50 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AQUIVER:19:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 51 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AVOIDABLE:15:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 52 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWING:27:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 53 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWING:27:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 54 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWED:26:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZIGGING:29:1:1 | ESTABLISHMENTS:63:1:1
record 55 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWING:27:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZIGGED:28:1:1 | ESTABLISHMENTS:63:1:1
record 56 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWED:26:1:1 | BLADDERLIKE:57:1:1 | AQUIVER:19:1:1 | ZIGGED:28:1:1 | ESTABLISHMENTS:63:1:1
record 57 | OPACIFICATIONS:69:1:1 | XYLEM:17:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AVENGEFUL:16:1:1 | ZOOGAMETES:32:1:1 | EQUALITIES:57:1:1
record 58 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 59 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENER:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 60 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKING:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 61 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENING:17:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 62 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 63 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENERS:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 64 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENER:15:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 65 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKING:15:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 66 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 67 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWED:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 68 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AJUGA:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 69 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AWARDING:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 70 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOIDING:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 71 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 72 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREADJUSTING:26:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 73 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREINTERVIEWED:26:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EQUALITY:60:1:1
record 74 | OPACIFICATIONS:69:1:1 | XEROSES:14:1:1 | PREADJUSTING:26:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EQUALITY:60:1:1
record 75 | OPACIFYING:63:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 76 | OPACIFYING:63:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATING:63:1:1
record 77 | OPACIFYING:63:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETE:31:1:1 | EJACULATING:63:1:1
record 78 | OPACIFYING:63:1:1 | XEROSES:14:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AMELIORATIVE:17:1:1 | ZOOGAMETES:32:1:1 | EJACULATED:60:1:1
record 79 | OPACIFICATIONS:69:1:1 | XED:11:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENINGS:18:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 80 | OPACIFICATIONS:69:1:1 | XED:11:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 81 | OPACIFICATIONS:69:1:1 | XED:11:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 82 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 83 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIES:29:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 84 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENERS:16:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 85 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENER:15:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 86 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHED:60:1:1 | AWAKENINGS:18:1:1 | ZOOGAMETES:32:1:1 | EVOCATIVELY:66:1:1
record 87 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENED:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 88 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFIED:30:1:1 | BRAINWASHING:63:1:1 | AWAKENERS:16:1:1 | ZOOGAMETE:31:1:1 | EVOCATIVELY:66:1:1
record 89 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 90 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWED:13:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 91 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AJUGA:13:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 92 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWER:12:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 93 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AWARDING:13:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 94 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AWARDED:12:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 95 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVENGED:12:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 96 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOIDED:12:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
record 97 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 98 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWED:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 99 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AJUGA:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 100 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWERS:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 101 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWER:12:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 102 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AWARDING:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 103 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AWARDED:12:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 104 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVENGED:12:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 105 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOIDING:13:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 106 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOIDED:12:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 107 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOIDANCE:15:1:1 | ZOOGAMETE:31:1:1 | ESTABLISHMENTS:63:1:1
record 108 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENT:60:1:1
record 109 | OPACIFICATIONS:69:1:1 | XEROTIC:16:1:1 | PREFORMATIVE:25:1:1 | BRAINWASHING:63:1:1 | AWAKENINGS:18:1:1 | ZOOGAMETES:32:1:1 | EQUALITY:60:1:1
record 110 | OPACIFICATION:66:1:1 | XEROTIC:16:1:1 | PREQUALIFYING:34:1:1 | BLADDERLIKE:57:1:1 | AVOWING:14:1:1 | ZOOGAMETES:32:1:1 | ESTABLISHMENTS:63:1:1
